Region Code,Region Name,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
,NHS ENGLAND,General Surgery Service,2672,1660,0.621257485,12.56470588,46.21833333,115,2,21
,NHS ENGLAND,Urology Service,2058,1073,0.521379981,17.02222222,51.87384615,163,40,69
,NHS ENGLAND,Trauma and Orthopaedic Service,5668,3342,0.58962597,14.45454545,46.13560976,254,6,67
,NHS ENGLAND,Ear Nose and Throat Service,4104,2026,0.493664717,18.22033898,51.59478261,319,2,38
,NHS ENGLAND,Ophthalmology Service,2924,1889,0.646032832,11.95454545,45.50571429,141,14,37
,NHS ENGLAND,Oral Surgery Service,405,250,0.617283951,12.53125,47.93333333,21,0,2
,NHS ENGLAND,Neurosurgical Service,17584,10930,0.621587807,13.19624217,41.04292683,431,9,82
,NHS ENGLAND,Plastic Surgery Service,1087,558,0.513339466,17.53225806,51.005,79,17,25
,NHS ENGLAND,Cardiothoracic Surgery Service,3749,2571,0.685782875,10.90873016,37.59454545,97,4,29
,NHS ENGLAND,General Internal Medicine Service,172,116,0.674418605,9.5,35.62,3,0,0
,NHS ENGLAND,Gastroenterology Service,1945,1266,0.650899743,12.46103896,39.675,50,0,5
,NHS ENGLAND,Cardiology Service,7463,4594,0.615570146,13.48285714,40.41745455,157,0,14
,NHS ENGLAND,Dermatology Service,1300,793,0.61,12.97777778,42.66666667,36,0,7
,NHS ENGLAND,Respiratory Medicine Service,629,388,0.616852146,13.34210526,39.67,12,0,1
,NHS ENGLAND,Neurology Service,22378,12692,0.567164179,15.32154882,47.41361702,950,1,61
,NHS ENGLAND,Rheumatology Service,1863,1152,0.618357488,13.78571429,35.915,25,0,2
,NHS ENGLAND,Elderly Medicine Service,14,11,0.785714286,-,-,0,0,0
,NHS ENGLAND,Gynaecology Service,1224,544,0.444444444,22.44444444,55.26736842,168,1,13
,NHS ENGLAND,Other - Medical Services,20256,13868,0.684636651,11.86103542,34.90088235,227,0,16
,NHS ENGLAND,Other - Mental Health Services,18,17,0.944444444,-,-,0,0,0
,NHS ENGLAND,Other - Paediatric Services,55370,32569,0.58820661,14.33725202,46.39830986,2564,47,350
,NHS ENGLAND,Other - Surgical Services,10728,6486,0.60458613,13.92465753,45.27952941,459,6,109
,NHS ENGLAND,Other - Other Services,4161,3170,0.761836097,8.004201681,38.73272727,33,1,6
,NHS ENGLAND,Total,167772,101965,0.60775934,13.70810211,44.53151304,6304,150,954
Y56,LONDON,General Surgery Service,56017,31122,0.555581341,15.59684519,47.9438191,3150,64,764
Y56,LONDON,Urology Service,62984,35936,0.570557602,15.13506815,44.48268585,2702,32,706
Y56,LONDON,Trauma and Orthopaedic Service,95792,55574,0.580152831,14.74732069,44.41479624,3691,65,849
Y56,LONDON,Ear Nose and Throat Service,97439,51967,0.533328544,16.58747961,49.75297468,6470,159,1637
Y56,LONDON,Ophthalmology Service,81649,60180,0.737057404,10.00179563,34.54710866,842,14,120
Y56,LONDON,Oral Surgery Service,50130,28679,0.572092559,15.23736969,44.30552147,2116,58,568
Y56,LONDON,Neurosurgical Service,17117,8370,0.488987556,18.49867725,49.96191617,1058,5,163
Y56,LONDON,Plastic Surgery Service,13853,6819,0.492239948,18.36941581,50.95126437,993,17,279
Y56,LONDON,Cardiothoracic Surgery Service,610,437,0.716393443,9.571428571,40.3,7,0,1
Y56,LONDON,General Internal Medicine Service,6882,4649,0.675530369,11.57195572,39.88170213,188,0,23
Y56,LONDON,Gastroenterology Service,59669,38092,0.638388443,12.78624535,39.91845304,1201,5,190
Y56,LONDON,Cardiology Service,61917,40019,0.646332994,12.9128266,37.55934827,695,1,68
Y56,LONDON,Dermatology Service,74112,45885,0.619130505,13.11922882,41.61404326,1955,628,742
Y56,LONDON,Respiratory Medicine Service,44330,28770,0.648996165,12.60745763,39.33886463,914,4,116
Y56,LONDON,Neurology Service,43900,23189,0.528223235,16.78493648,43,824,1,55
Y56,LONDON,Rheumatology Service,16406,11515,0.701877362,10.95905512,36.86920635,178,0,9
Y56,LONDON,Elderly Medicine Service,3738,2759,0.738095238,8.912280702,35.68,12,0,0
Y56,LONDON,Gynaecology Service,99930,57050,0.57089963,15.07587314,45.19537037,4226,58,869
Y56,LONDON,Other - Medical Services,130570,86165,0.659914222,12.11842105,38.34403292,1710,4,183
Y56,LONDON,Other - Mental Health Services,440,311,0.706818182,11.52631579,34.4,2,0,0
