Month,post_covid,year,median_wait,92_wait,within_18,greater_18,greater_52,greater_65,greater_78,greater_104,total_waiting,unique_patients,admitted_median,admitted_95,admitted_within_18,admitted_greater_18,total_admitted,non_admitted_median,non_admitted_95,non_admitted_within_18,non_admitted_greater_52,non_admitted_total,No. of new RTT periods,No. of new RTT periods with estimates for missing data,admitted_adjustment_median,admitted_adjusted_95,admitted_adjusted_within_18,admitted_adjusted_greater_52,admitted_adjusted_total,,,,,
01/08/2007,0.00,2007,14.29,52+,2395656.00,1791318.00,578682.00,,,,4186974.00,,15.59,52+,125334.00,22188.00,284512.00,7.35,52+,605162.00,68141.00,848812.58,,,,,,,,,,,,
01/09/2007,0.00,2007,13.35,52+,2364349.00,1633202.00,401725.00,,,,3997551.00,,15.34,52+,128145.00,19441.00,279421.00,7.52,52+,607611.00,70059.00,847530.35,,,,,,,,,,,,
01/10/2007,0.00,2007,13.15,52+,2337604.00,1602217.00,387161.00,,,,3939821.00,,14.58,52+,159995.00,21086.00,319388.00,6.71,52+,668449.00,68015.00,910514.00,,,,,,,,,,,,
01/11/2007,0.00,2007,13.33,52+,2269968.00,1651994.00,415215.00,,,,3921962.00,,13.44,52+,168956.00,18096.00,313200.00,6.16,52+,684129.00,68021.00,920948.00,,,,,,,,,,,,
01/12/2007,0.00,2007,14.28,52+,2180207.00,1681130.00,434188.00,,,,3861337.00,,11.35,52+,151774.00,12831.00,246718.00,5.52,52+,568088.00,46800.00,740311.00,,,,,,,,,,,,
01/01/2008,0.00,2008,12.28,52+,2151167.00,1359270.00,306034.00,,,,3510437.00,,12.20,52+,194851.00,16013.00,300782.00,5.92,51.69,729751.00,43893.00,908522.00,,,,,,,,,,,,
01/02/2008,0.00,2008,10.52,52+,2024628.00,1091445.00,253955.00,,,,3116073.00,,10.79,42.81,215832.00,9884.00,298749.00,4.48,39.71,707658.00,24688.00,832631.00,,,,,,,,,,,,
01/03/2008,0.00,2008,9.83,51.63,2017806.00,1038904.00,240689.00,,,,3056710.00,,8.20,28.58,239803.00,3554.00,282040.00,3.95,21.82,673800.00,7710.00,725954.00,,,8.07,27.26,242581.00,3305.00,281029.00,,,,,
01/04/2008,0.00,2008,9.02,51.09,2041274.00,898996.00,225860.00,,,,2940270.00,,8.56,29.92,256136.00,4646.00,306294.00,4.20,22.74,776261.00,10295.00,842395.00,,,8.33,28.09,261041.00,4085.00,305434.00,,,,,
01/05/2008,0.00,2008,8.09,47.42,2103566.00,768383.00,187394.00,,,,2871949.00,,8.41,29.19,240130.00,3954.00,278940.00,4.10,21.78,702230.00,9230.00,756306.00,,,8.19,27.60,243353.00,3577.00,278139.00,,,,,
01/06/2008,0.00,2008,7.41,41.36,2126177.00,617159.00,149029.00,,,,2743336.00,,8.35,27.36,254235.00,3535.00,295120.00,4.29,19.20,755802.00,7282.00,806273.00,,,8.11,25.58,258225.00,3115.00,293957.00,,,,,
01/07/2008,0.00,2008,6.93,35.16,2151245.00,499466.00,118872.00,,,,2650711.00,,8.20,24.90,273129.00,2961.00,313847.00,4.17,17.94,801170.00,6213.00,846561.00,,,7.90,23.30,278414.00,2414.00,313077.00,,,,,
01/08/2008,0.00,2008,7.27,37.34,2155168.00,520564.00,140727.00,,,,2675732.00,,8.31,24.69,231697.00,2316.00,265265.00,4.30,17.62,677282.00,4464.00,713155.00,,,8.01,22.95,235701.00,1768.00,263774.00,,,,,
01/09/2008,0.00,2008,6.80,35.81,2162608.00,470983.00,144213.00,,,,2633591.00,,8.73,24.43,263845.00,2241.00,303487.00,4.44,17.28,800264.00,4302.00,838888.00,,,8.35,22.41,269930.00,1638.00,301666.00,,,,,
01/10/2008,0.00,2008,6.23,27.68,2104538.00,370308.00,83601.00,,,,2474846.00,,8.56,24.25,279915.00,2335.00,322525.00,4.09,16.71,835159.00,3018.00,880814.00,,,8.20,22.27,285652.00,1822.00,319584.00,,,,,
