Month,post_covid,year,median_wait,92_wait,within_18,greater_18,greater_52,greater_65,greater_78,greater_104,total_waiting,admitted_median,admitted_95,admitted_within_18,admitted_greater_18,total_admitted,non_admitted_median,non_admitted_95,non_admitted_within_18,non_admitted_greater_52,non_admitted_total
01/10/2015,0,2015,6.16,17.81,3247054,285760,987,0,0,0,3532814,9.73,27.13,263475,268,333594.78,5.75,19.79,890021,352,1003470.54
01/11/2015,0,2015,6.06,17.76,3242202,283212,954,0,0,0,3525414,9.37,27.31,260022,346,330490.15,5.67,20.17,894358,442,1010527.19
01/12/2015,0,2015,6.74,18.16,3226069,303445,934,0,0,0,3529514,8.83,26.59,231392,215,293251.15,5.34,19.99,811149,261,920233.19
01/01/2016,0,2016,6.85,18,3226794,297908,904,0,0,0,3524702,10.17,28.23,238458,328,310486.43,6.3,20.93,850230,372,967198.8
01/02/2016,0,2016,5.85,17.93,3281472,298051,868,0,0,0,3579523,10.22,28.48,245560,302,321062.15,5.4,20.5,868738,433,987536.19
01/03/2016,0,2016,6.35,18.46,3346700,328598,1024,0,0,0,3675298,9.28,28.38,244545,305,312704.88,5.33,20.51,879984,541,983749.83
01/04/2016,0,2016,6.57,18.51,3452534,333626,1039,0,0,0,3786160,9.62,29.18,236115,320,308803.88,5.86,21.12,869205,504,980336.83
01/05/2016,0,2016,6.42,18.16,3511730,330031,1162,0,0,0,3841761,9.98,29.81,242810,362,313110.32,5.81,21.28,897361,616,1003902.79
01/06/2016,0,2016,6.46,18.42,3506201,341472,1099,0,0,0,3847673,9.81,30.15,253379,452,334744.55,5.94,20.97,935106,591,1063784.27
01/07/2016,0,2016,6.59,18.76,3529663,354801,1234,0,0,0,3884464,9.71,30.09,238850,494,316542.78,5.88,21.65,853297,589,978795.38
01/08/2016,0,2016,6.96,18.9,3540616,370767,1219,0,0,0,3911383,9.69,29.89,239004,533,315949.25,5.94,22.08,875130,1456,1004931.97
01/09/2016,0,2016,6.9,19.13,3539516,382843,1342,0,0,0,3922359,10.45,30.9,242876,580,329203.25,6.55,22.57,910528,1230,1055139.97
01/10/2016,0,2016,6.53,19.32,3523839,379929,1576,0,0,0,3903768,10.27,31.39,240558,622,322763.69,6.16,23.27,908674,1751,1048358.47
01/11/2016,0,2016,6.47,19.32,3485623,372653,1382,0,0,0,3858276,10.06,31.25,259122,690,345444.2,6.05,23.35,983991,1849,1127172.11
01/12/2016,0,2016,7.17,20.03,3433169,400653,1377,0,0,0,3833822,9.31,30.67,217654,638,285461.91,5.64,22.9,809979,1480,928435.83
01/01/2017,0,2017,7.19,19.75,3405696,387034,1495,0,0,0,3792730,10.6,32.28,235955,773,317779.45,6.66,23.82,932861,1818,1073430.84
01/02/2017,0,2017,6.2,19.75,3437952,388744,1676,0,0,0,3826696,10.88,32.71,224974,931,305241.09,5.83,23.3,880694,949,1009693.18
01/03/2017,0,2017,6.18,19.51,3513356,384174,1621,0,0,0,3897530,10.14,32.83,258332,970,350922.15,5.55,22.79,1005564,1073,1147578.16
01/04/2017,0,2017,6.8,19.96,3541019,404135,1661,0,0,0,3945154,9.66,32.71,201069,799,273776.38,5.57,22.72,810160,1160,922277.86
01/05/2017,0,2017,7.1,19.38,3586367,387369,1744,0,0,0,3973736,10.05,32.95,237633,1131,319480.78,6.12,23.03,970436,1684,1105089.84
01/06/2017,0,2017,6.64,19.5,3615594,397317,1743,0,0,0,4012911,10.31,33.22,237751,1103,323833.58,5.87,22.43,971963,968,1116024.5
01/07/2017,0,2017,6.58,19.77,3616350,414648,1843,0,0,0,4030998,9.83,33.26,227912,1056,310209.78,5.77,22.57,930938,1229,1074754.84
01/08/2017,0,2017,7.07,20.53,3630406,435737,1935,0,0,0,4066143,9.74,32.57,222954,1015,305673.58,5.83,23.02,924939,1109,1064671.17
01/09/2017,0,2017,7.19,20.32,3621399,449702,1980,0,0,0,4071101,10.37,33.14,217576,1061,304127.42,6.36,23.71,908818,834,1064525.8
01/10/2017,0,2017,6.69,20.26,3624308,441547,1728,0,0,0,4065855,10.39,33.35,234281,1107,327417.09,6.02,23.41,973422,879,1149771.17
01/11/2017,0,2017,6.61,20.19,3585185,435440,1671,0,0,0,4020625,10,33.29,238467,858,332403.61,5.92,23.7,989847,846,1176938.5
01/12/2017,0,2017,7.44,21.31,3520138,475790,1842,0,0,0,3995928,9.21,32.1,193089,547,260252.93,5.62,23.4,786006,622,918499.39
01/01/2018,0,2018,7.56,21.27,3501481,482475,2119,0,0,0,3983956,10.18,33.2,223360,740,306592.24,6.56,24.37,978058,792,1150904.34
01/02/2018,0,2018,6.59,21.39,3518355,495763,2485,0,0,0,4014118,10.56,34.12,204707,713,285923.21,5.62,24.08,862680,813,1012504.26
01/03/2018,0,2018,6.93,21.87,3570304,532695,3006,0,0,0,4102999,9.58,34.41,210847,869,294492.67,5.42,23.81,889663,891,1044275.28
01/04/2018,0,2018,6.89,21.96,3664629,529885,3044,0,0,0,4194514,10.12,35.81,205679,1188,292857.21,5.87,24.83,886504,1251,1035238.26
01/05/2018,0,2018,6.88,21.52,3762039,515383,3264,0,0,0,4277422,10.01,35.87,226925,1289,315440.72,5.71,24.83,978385,1233,1130253.98
01/06/2018,0,2018,7.04,21.5,3777933,531932,3680,0,0,0,4309865,9.96,36.18,222643,1349,311546.72,5.9,24.92,944380,1264,1098547.98
01/07/2018,0,2018,7.05,21.55,3788256,534490,3628,0,0,0,4322746,9.88,36.21,226895,1473,316349.37,5.82,24.49,966346,1228,1127507.69
01/08/2018,0,2018,7.54,22.11,3790290,560527,3569,0,0,0,4350817,9.74,36.24,217288,1360,299827.37,5.84,24.57,904059,1048,1055185.69
01/09/2018,0,2018,7.63,22.15,3741621,580565,3321,0,0,0,4322186,10.44,36.33,207550,1412,292611.07,6.47,25.66,880762,1178,1044538.26
01/10/2018,0,2018,7,21.96,3774507,565560,2978,0,0,0,4340067,10.41,36.39,238070,1544,335011.94,6.1,25.42,1033659,1525,1213004.31
01/11/2018,0,2018,6.91,21.95,3754687,553084,2594,0,0,0,4307771,9.98,36.33,234334,1399,329504.37,5.98,25.71,1015164,1312,1192144.69
01/12/2018,0,2018,7.59,22.67,3704631,580177,2400,0,0,0,4284808,9.23,35.01,191452,946,260492.24,5.61,25.31,823320,861,953033.72
