Region Code,CCG Code,CCG Name,Treatment Function Code,Treatment Function, >0-1 , >1-2 , >2-3 , >3-4 , >4-5 , >5-6 , >6-7 , >7-8 , >8-9 , >9-10 , >10-11 , >11-12 , >12-13 , >13-14 , >14-15 , >15-16 , >16-17 , >17-18 , >18-19 , >19-20 , >20-21 , >21-22 , >22-23 , >23-24 , >24-25 , >25-26 , >26-27 , >27-28 , >28-29 , >29-30 , >30-31 , >31-32 , >32-33 , >33-34 , >34-35 , >35-36 , >36-37 , >37-38 , >38-39 , >39-40 , >40-41 , >41-42 , >42-43 , >43-44 , >44-45 , >45-46 , >46-47 , >47-48 , >48-49 , >49-50 , >50-51 , >51-52 , 52 plus ,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y63,02P,NHS BARNSLEY CCG,C_100,General Surgery, 170 , 245 , 186 , 126 , 143 , 78 , 87 , 109 , 108 , 67 , 67 , 48 , 54 , 36 , 68 , 42 , 42 , 35 , 18 , 19 , 23 , 12 , 4 , 15 , 10 , 6 , 8 , 3 , 5 , 7 , 4 , 8 , 2 , 4 , 3 , 3 , 1 , 2 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,870 "," 1,711 ",91.5%,5.8,18.5
Y63,02P,NHS BARNSLEY CCG,C_101,Urology, 91 , 102 , 76 , 71 , 65 , 45 , 45 , 40 , 37 , 39 , 35 , 37 , 17 , 25 , 15 , 10 , 11 , 17 , 13 , 7 , 11 , 6 , 5 , 5 , 3 , 8 , 3 , 3 , 3 , 4 , 2 , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 854 , 778 ,91.1%,5.5,18.6
Y63,02P,NHS BARNSLEY CCG,C_110,Trauma & Orthopaedics, 105 , 157 , 160 , 94 , 156 , 104 , 93 , 114 , 108 , 82 , 83 , 76 , 67 , 63 , 70 , 42 , 54 , 56 , 36 , 30 , 27 , 10 , 3 , 24 , 13 , 9 , 6 , 5 , 8 , 5 , 4 , 1 , 4 , 3 , 3 , 1 , 1 , 1 , 1 , -   , 1 , 1 , -   , -   , -   , -   , 2 , -   , -   , -   , 1 , -   , -   ," 1,884 "," 1,684 ",89.4%,7.6,19.4
Y63,02P,NHS BARNSLEY CCG,C_120,"Ear, Nose & Throat (ENT)", 111 , 166 , 141 , 77 , 112 , 88 , 63 , 67 , 41 , 40 , 47 , 30 , 19 , 23 , 9 , 10 , 8 , 9 , 6 , 9 , 2 , 2 , 2 , 1 , 5 , 7 , 3 , 1 , -   , 2 , 2 , 2 , 1 , -   , -   , -   , 1 , -   , -   , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,110 "," 1,061 ",95.6%,4.5,13.8
Y63,02P,NHS BARNSLEY CCG,C_130,Ophthalmology, 235 , 204 , 195 , 141 , 195 , 112 , 112 , 146 , 113 , 94 , 62 , 56 , 40 , 31 , 27 , 21 , 11 , 22 , 11 , 9 , 7 , 2 , 3 , 7 , 5 , 3 , 1 , 2 , 3 , 3 , 2 , -   , 3 , -   , -   , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,882 "," 1,817 ",96.5%,4.9,13.9
Y63,02P,NHS BARNSLEY CCG,C_140,Oral Surgery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-,-
Y63,02P,NHS BARNSLEY CCG,C_150,Neurosurgery, 17 , 6 , 14 , 7 , 13 , 4 , 13 , 6 , 8 , 5 , 5 , 6 , 2 , 2 , 3 , -   , 1 , 1 , 2 , 1 , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 121 , 113 ,93.4%,6.0,16.3
Y63,02P,NHS BARNSLEY CCG,C_160,Plastic Surgery, 8 , 14 , 18 , 9 , 15 , 4 , 8 , 5 , 3 , 7 , 4 , 9 , 5 , 5 , 7 , -   , 2 , 6 , 2 , 2 , 2 , -   , -   , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 139 , 129 ,92.8%,6.3,17.8
Y63,02P,NHS BARNSLEY CCG,C_170,Cardiothoracic Surgery, 7 , 5 , 1 , 1 , 4 , -   , 5 , -   , 7 , 3 , -   , 3 , 4 , 1 , -   , 3 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 46 , 44 ,95.7%,8.1,15.4
Y63,02P,NHS BARNSLEY CCG,C_300,General Medicine, 17 , 12 , 10 , 12 , 21 , 16 , 5 , 8 , 11 , 14 , 12 , 3 , 2 , 1 , 1 , 1 , -   , 2 , 1 , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 152 , 148 ,97.4%,5.3,11.6
