Region Code,Org Code,Org Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_100,General Surgery Service, 174, 223, 127, 103, 108, 95, 91, 73, 53, 58, 67, 52, 39, 55, 48, 52, 39, 43, 29, 37, 27, 16, 14, 19, 26, 22, 23, 24, 18, 22, 20, 9, 14, 12, 18, 11, 11, 12, 8, 8, 12, 11, 4, 1, 5, 2, 4, 5, 3, 3, 4, 4, 5, 1, 1, 2, 4, 1,-,-, 2, 1,-,-,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,976"," 1,500",75.9%,7.9,32.9, 18,-, 1
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_101,Urology Service, 78, 114, 88, 79, 102, 75, 60, 61, 38, 47, 66, 61, 42, 44, 41, 43, 49, 38, 36, 31, 40, 12, 13, 28, 19, 27, 15, 14, 18, 12, 18, 21, 9, 15, 14, 10, 9, 10, 11, 6, 12, 11, 3, 6, 6, 3, 4, 6, 4, 4, 4, 4, 7, 3, 3, 6, 1, 1, 2, 1, 3, 2, 1,-, 1, 1,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,614"," 1,126",69.8%,11.0,36.8, 33,-, 2
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_110,Trauma and Orthopaedic Service, 125, 168, 157, 132, 155, 153, 184, 150, 105, 102, 160, 143, 159, 129, 140, 99, 91, 104, 89, 118, 96, 45, 36, 84, 99, 76, 78, 73, 69, 61, 59, 52, 33, 44, 39, 52, 39, 33, 24, 40, 36, 28, 27, 35, 25, 20, 23, 18, 13, 23, 17, 21, 6, 10, 14, 5, 5, 8, 4, 4, 4, 8, 3, 2, 1, 2, 3, 1, 1, 1, 1,-,-, 1,-,-, 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 4,167"," 2,456",58.9%,14.4,41.1, 86,-, 12
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_120,Ear Nose and Throat Service, 101, 159, 147, 126, 156, 136, 125, 110, 113, 114, 124, 131, 140, 101, 129, 102, 123, 132, 85, 72, 89, 52, 28, 34, 76, 63, 78, 23, 25, 20, 26, 27, 28, 20, 13, 16, 18, 18, 20, 13, 9, 7, 2, 9, 6, 2, 10, 5, 12, 5, 5, 6, 4, 2, 5, 1, 3, 2,-,-, 1,-, 1,-, 1, 2,-, 1,-, 1, 1, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 3,217"," 2,269",70.5%,12.5,31.7, 26,-, 6
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_130,Ophthalmology Service, 190, 239, 270, 172, 181, 192, 181, 129, 105, 107, 122, 108, 84, 68, 71, 73, 53, 67, 37, 35, 39, 22, 7, 32, 32, 29, 28, 17, 11, 20, 22, 15, 10, 14, 13, 9, 6, 3, 1, 1, 2, 3, 4, 5, 5, 6, 5, 1, 2, 2, 3, 5,-, 3, 2, 2,-,-,-, 1,-, 1, 1,-,-,-,-, 1,-, 1, 2,-, 1,-,-, 1,-, 1,-, 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 2,877"," 2,412",83.8%,7.1,26.1, 19, 2, 9
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_140,Oral Surgery Service, 83, 84, 121, 58, 105, 102, 82, 85, 52, 43, 88, 76, 64, 76, 54, 51, 52, 65, 34, 44, 36, 36, 15, 36, 41, 36, 34, 45, 46, 42, 41, 48, 38, 34, 45, 24, 29, 26, 26, 24, 24, 21, 14, 18, 11, 15, 24, 5, 14, 5, 9, 5, 5, 8, 6, 5, 3, 1, 4, 3, 3, 4, 2,-,-,-,-,-, 1, 2, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 2,334"," 1,341",57.5%,14.9,41.1, 48,-, 4
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_150,Neurosurgical Service, 15, 7, 10, 5, 7, 8, 9, 11, 7, 9, 9, 7, 4, 3, 7, 4, 5, 4, 4, 4, 4, 2, 1, 3,-, 4, 1, 7, 2, 3,-, 6, 4, 3, 4,-,-, 4, 4, 3, 3, 3,-, 6, 5, 1, 6, 4,-, 1, 2, 1, 1, 1, 3, 2, 1, 2,-,-, 2, 2, 1, 1, 2,-, 1, 2,-,-, 2, 1, 1,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-, 253, 131,51.8%,16.9,55.9, 27, 1, 9
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_160,Plastic Surgery Service, 10, 11, 10, 9, 12, 8, 3, 5, 5, 3, 4, 3, 8, 9, 9, 8, 4, 5, 10, 4, 2, 4, 1, 3, 6, 6, 4, 4, 4, 5, 7, 3, 3, 2, 3, 3, 5, 5, 4, 5, 1, 2, 8, 2,-, 3, 4, 3, 6, 6, 3, 3,-, 1, 2,-, 1,-, 1,-, 2, 4, 2,-, 1, 2, 1, 2,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 280, 126,45.0%,20.0,51.2, 20,-, 6
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_170,Cardiothoracic Surgery Service, 4, 5, 2, 6, 5, 4, 5, 3,-, 3, 3, 3, 4, 1, 2, 3, 4, 1, 3, 1,-, 1, 1, 1, 1,-, 2, 1,-,-,-, 1, 1, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 72, 58,80.6%,9.7,26.1,-,-,-
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_300,General Internal Medicine Service, 5, 1, 4, 1,-,-, 1, 1, 4, 1, 1,-, 3,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 23, 23,100.0%,6.5,12.7,-,-,-
