Prison Name,In Use CNA,Population *,%pop to in use CNA
Durham,573,973,170%
Leeds,641,1079,168%
Preston,426,679,159%
Wandsworth,964,1523,158%
Bedford,229,361,158%
Lincoln,403,612,152%
Doncaster,738,1119,152%
Altcourse,780,1164,149%
Exeter,205,300,146%
Swansea,265,383,145%
Brixton,524,733,140%
Usk / Prescoed,373,517,139%
Bristol,408,565,138%
Chelmsford,518,715,138%
Winchester,448,617,138%
Forest Bank,1061,1452,137%
Cardiff,534,729,137%
Hull,679,924,136%
Leicester,212,288,136%
Pentonville,905,1192,132%
Thameside,926,1216,131%
Oakwood,1628,2116,130%
Isis,478,613,128%
Hewell,795,1016,128%
Nottingham,719,909,126%
Bullingdon,711,898,126%
Birmingham,772,958,124%
Huntercombe,409,504,123%
Norwich,631,773,123%
Ranby,892,1086,122%
Humber,875,1046,120%
Holme House,985,1134,115%
Parc,1559,1789,115%
Stoke Heath,662,757,114%
High Down,999,1140,114%
Erlestoke,440,502,114%
Guys Marsh,436,497,114%
Buckley Hall,409,461,113%
Hindley,526,592,113%
Eastwood Park,326,366,112%
Peterborough (Male & Female),1097,1227,112%
Littlehey,1114,1236,111%
Whatton,766,849,111%
Rye Hill,600,663,111%
Wymott,1068,1177,110%
Portland,458,504,110%
Stocken,964,1045,108%
Maidstone,560,607,108%
Wormwood Scrubs,1176,1272,108%
Isle of Wight,1012,1088,108%
Moorland,1001,1076,107%
Channings Wood,688,738,107%
Lancaster Farms,495,530,107%
Coldingley,475,505,106%
Bure,604,641,106%
Dovegate,1060,1123,106%
The Verne,574,607,106%
Kirklevington Grange,187,195,104%
Wealstun,849,885,104%
Deerbolt,337,349,104%
Highpoint (North and South),1238,1282,104%
Wayland,829,849,102%
Onley,714,730,102%
Swinfen Hall,604,617,102%
Leyhill,447,456,102%
The Mount,1007,1025,102%
Risley,967,982,102%
Featherstone,671,681,101%
Garth,810,821,101%
Elmley (Sheppey),1007,1018,101%
Five Wells,1680,1688,100%
Hatfield,358,358,100%
Warren Hill,267,266,100%
Stafford,753,749,99%
Fosse Way,1715,1704,99%
Thorn Cross,430,426,99.1%
Berwyn,2000,1981,99.1%
Foston Hall,290,287,99.0%
Wakefield,750,742,99%
Rochester,759,749,99%
Haverigg,499,491,98%
Ashfield,416,409,98%
New Hall,341,335,98%
Whitemoor,462,453,98%
Send,256,249,97%
Brinsford,539,524,97%
Drake Hall,340,330,97%
Aylesbury,402,390,97%
Bronzefield,527,510,97%
Morton Hall,353,341,97%
North Sea Camp,300,289,96%
Lindholme,924,887,96%
Swaleside (Sheppey),985,943,96%
Manchester,695,665,96%
Lewes,614,584,95%
Styal,453,430,95%
Standford Hill (Sheppey),464,438,94%
Hollesley Bay,655,615,94%
Frankland,885,829,94%
Feltham,605,565,93%
Gartree,621,576,93%
Full Sutton,631,585,93%
Low Newton,298,273,92%
Northumberland,1324,1211,91%
Lowdham Grange,892,813,91%
Liverpool,908,826,91%
Downview,356,323,91%
Long Lartin,649,586,90%
Grendon / Springhill,529,475,90%
Kirkham,699,621,89%
Belmarsh,810,710,88%
Ford,389,338,87%
Woodhill,393,341,87%
Sudbury,621,529,85%
East Sutton Park,106,88,83%
Askham Grange,128,99,77%
Werrington,118,91,77%
Wetherby,288,146,51%
Dartmoor,640,243,38%
Cookham Wood,138,0,0%
