a,b,c,d,e,f,g
Wandsworth,963,935,1546,1478,2019,543
Oakwood,1600,1600,2106,2086,2019,486
Pentonville,906,694,1098,1082,2019,388
Leeds,667,667,1210,1043,2019,376
Forest Bank,1063,1063,1460,1426,2019,363
Doncaster,738,738,1145,1088,2019,350
Durham,597,578,998,924,2019,346
Altcourse,794,794,1164,1111,2019,317
Hull,723,723,1044,994,2019,271
Brixton,529,529,798,771,2019,242
Preston,433,433,811,675,2019,242
Thameside,926,926,1232,1167,2019,241
Lincoln,408,403,729,637,2019,234
Nottingham,723,576,800,786,2019,210
Bullingdon,869,869,1114,1075,2019,206
Cardiff,534,534,779,738,2019,204
Ranby,893,832,1038,1018,2019,186
Exeter,326,318,561,482,2019,164
Holme House,1036,1036,1210,1197,2019,161
Swansea,268,268,497,428,2019,160
Birmingham,1099,790,969,949,2019,159
High Down,999,999,1203,1153,2019,154
Chelmsford,551,551,750,704,2019,153
Usk / Prescoed,378,375,536,525,2019,150
Elmley (Sheppey),1007,1007,1182,1151,2019,144
Isis,478,478,628,613,2019,135
Leicester,214,208,411,340,2019,132
Hewell,1037,876,1039,1006,2019,130
Winchester,469,365,500,491,2019,126
Norwich,616,616,773,734,2019,118
Bristol,406,345,520,460,2019,115
Stoke Heath,662,662,782,768,2019,106
Huntercombe,370,369,480,467,2019,98
Bedford,314,265,397,362,2019,97
Dovegate,1060,1060,1160,1153,2019,93
Humber,965,951,1062,1032,2019,81
Parc,1559,1559,1699,1640,2019,81
Lindholme,924,859,945,934,2019,75
Stocken,868,868,953,940,2019,72
Wormwood Scrubs,1156,963,1046,1032,2019,69
Whatton,775,769,841,837,2019,68
Liverpool,1173,607,700,674,2019,67
Peterborough (Male & Female),1107,1104,1240,1168,2019,64
Guys Marsh,518,379,446,442,2019,63
Isle of Wight,1068,976,1053,1038,2019,62
Rye Hill,600,600,664,662,2019,62
Lancaster Farms,495,495,560,551,2019,56
Buckley Hall,409,409,459,456,2019,47
Wymott,1099,1099,1167,1146,2019,47
Littlehey,1154,1154,1220,1200,2019,46
Hindley,580,512,578,540,2019,28
Portland,463,458,510,486,2019,28
Maidstone,565,565,600,587,2019,22
Highpoint (North and South),1311,1291,1325,1312,2019,21
Wayland,973,969,1003,990,2019,21
Foston Hall,307,307,349,326,2019,19
Moorland,943,943,1006,962,2019,19
New Hall,392,371,425,388,2019,17
Coldingley,493,403,426,419,2019,16
Channings Wood,698,698,724,712,2019,14
Bure,604,604,624,617,2019,13
Erlestoke,494,494,524,505,2019,11
Risley,1050,1048,1094,1055,2019,7
The Verne,570,570,580,576,2019,6
Stafford,741,741,751,746,2019,5
Garth,810,810,845,812,2019,2
Wealstun,810,809,832,811,2019,2
Belmarsh,760,760,906,761,2019,1
Ashfield,415,400,400,400,2019,0
Haverigg,622,32,32,31,2019,-1
Aylesbury,410,209,209,207,2019,-2
East Sutton Park,101,101,101,99,2019,-2
Swinfen Hall,604,574,594,572,2019,-2
Hollesley Bay,485,480,480,477,2019,-3
Lowdham Grange,919,888,888,885,2019,-3
Standford Hill (Sheppey),464,464,464,460,2019,-4
Onley,742,734,734,729,2019,-5
Dartmoor,642,640,640,634,2019,-6
Send,282,282,282,276,2019,-6
Whitemoor,473,458,458,452,2019,-6
Leyhill,515,515,515,508,2019,-7
The Mount,1008,1008,1028,1001,2019,-7
Thorn Cross,385,385,385,378,2019,-7
Ford,544,544,544,536,2019,-8
North Sea Camp,420,420,420,411,2019,-9
Sudbury,581,581,581,571,2019,-10
Berwyn,1660,1660,1660,1649,2019,-11
Wakefield,750,750,750,739,2019,-11
Askham Grange,128,128,128,115,2019,-13
Downview,368,307,307,293,2019,-14
Frankland,852,852,852,838,2019,-14
Hatfield,390,378,378,364,2019,-14
Warren Hill,264,258,258,244,2019,-14
Drake Hall,340,340,340,325,2019,-15
Kirklevington Grange,283,283,283,268,2019,-15
Lewes,617,563,638,548,2019,-15
Werrington,118,118,118,103,2019,-15
Rochester,802,685,685,669,2019,-16
Long Lartin,609,592,592,572,2019,-20
Styal,480,446,461,426,2019,-20
Northumberland,1368,1348,1348,1326,2019,-22
Gartree,708,708,708,685,2019,-23
Low Newton,314,314,344,290,2019,-24
Bronzefield,537,537,552,510,2019,-27
Featherstone,671,636,652,609,2019,-27
Full Sutton,594,594,594,563,2019,-31
Brinsford,539,511,549,479,2019,-32
Deerbolt,513,447,447,411,2019,-36
Swaleside (Sheppey),1112,1112,1112,1076,2019,-36
Grendon / Springhill,586,568,568,531,2019,-37
Cookham Wood,188,188,188,148,2019,-40
Eastwood Park,406,387,435,342,2019,-45
Kirkham,657,657,657,608,2019,-49
Manchester,967,958,1136,870,2019,-88
Woodhill,635,539,630,451,2019,-88
Wetherby,408,336,336,232,2019,-104
Feltham,768,542,542,421,2019,-121
