species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.10,18.70,181.00,3750.00,MALE
Adelie,Torgersen,39.50,17.40,186.00,3800.00,FEMALE
Adelie,Torgersen,40.30,18.00,195.00,3250.00,FEMALE
Adelie,Torgersen,NA,NA,NA,NA,NA
Adelie,Torgersen,36.70,19.30,193.00,3450.00,FEMALE
Adelie,Torgersen,39.30,20.60,190.00,3650.00,MALE
Adelie,Torgersen,38.90,17.80,181.00,3625.00,FEMALE
Adelie,Torgersen,39.20,19.60,195.00,4675.00,MALE
Adelie,Torgersen,34.10,18.10,193.00,3475.00,NA
Adelie,Torgersen,42.00,20.20,190.00,4250.00,NA
Adelie,Torgersen,37.80,17.10,186.00,3300.00,NA
Adelie,Torgersen,37.80,17.30,180.00,3700.00,NA
Adelie,Torgersen,41.10,17.60,182.00,3200.00,FEMALE
Adelie,Torgersen,38.60,21.20,191.00,3800.00,MALE
Adelie,Torgersen,34.60,21.10,198.00,4400.00,MALE
Adelie,Torgersen,36.60,17.80,185.00,3700.00,FEMALE
Adelie,Torgersen,38.70,19.00,195.00,3450.00,FEMALE
Adelie,Torgersen,42.50,20.70,197.00,4500.00,MALE
Adelie,Torgersen,34.40,18.40,184.00,3325.00,FEMALE
Adelie,Torgersen,46.00,21.50,194.00,4200.00,MALE
Adelie,Biscoe,37.80,18.30,174.00,3400.00,FEMALE
Adelie,Biscoe,37.70,18.70,180.00,3600.00,MALE
Adelie,Biscoe,35.90,19.20,189.00,3800.00,FEMALE
Adelie,Biscoe,38.20,18.10,185.00,3950.00,MALE
Adelie,Biscoe,38.80,17.20,180.00,3800.00,MALE
Adelie,Biscoe,35.30,18.90,187.00,3800.00,FEMALE
Adelie,Biscoe,40.60,18.60,183.00,3550.00,MALE
Adelie,Biscoe,40.50,17.90,187.00,3200.00,FEMALE
Adelie,Biscoe,37.90,18.60,172.00,3150.00,FEMALE
Adelie,Biscoe,40.50,18.90,180.00,3950.00,MALE
Adelie,Dream,39.50,16.70,178.00,3250.00,FEMALE
Adelie,Dream,37.20,18.10,178.00,3900.00,MALE
Adelie,Dream,39.50,17.80,188.00,3300.00,FEMALE
Adelie,Dream,40.90,18.90,184.00,3900.00,MALE
Adelie,Dream,36.40,17.00,195.00,3325.00,FEMALE
Adelie,Dream,39.20,21.10,196.00,4150.00,MALE
Adelie,Dream,38.80,20.00,190.00,3950.00,MALE
Adelie,Dream,42.20,18.50,180.00,3550.00,FEMALE
Adelie,Dream,37.60,19.30,181.00,3300.00,FEMALE
Adelie,Dream,39.80,19.10,184.00,4650.00,MALE
Adelie,Dream,36.50,18.00,182.00,3150.00,FEMALE
Adelie,Dream,40.80,18.40,195.00,3900.00,MALE
Adelie,Dream,36.00,18.50,186.00,3100.00,FEMALE
Adelie,Dream,44.10,19.70,196.00,4400.00,MALE
Adelie,Dream,37.00,16.90,185.00,3000.00,FEMALE
Adelie,Dream,39.60,18.80,190.00,4600.00,MALE
Adelie,Dream,41.10,19.00,182.00,3425.00,MALE
Adelie,Dream,37.50,18.90,179.00,2975.00,NA
Adelie,Dream,36.00,17.90,190.00,3450.00,FEMALE
Adelie,Dream,42.30,21.20,191.00,4150.00,MALE
Adelie,Biscoe,39.60,17.70,186.00,3500.00,FEMALE
Adelie,Biscoe,40.10,18.90,188.00,4300.00,MALE
Adelie,Biscoe,35.00,17.90,190.00,3450.00,FEMALE
Adelie,Biscoe,42.00,19.50,200.00,4050.00,MALE
Adelie,Biscoe,34.50,18.10,187.00,2900.00,FEMALE
Adelie,Biscoe,41.40,18.60,191.00,3700.00,MALE
Adelie,Biscoe,39.00,17.50,186.00,3550.00,FEMALE
Adelie,Biscoe,40.60,18.80,193.00,3800.00,MALE
Adelie,Biscoe,36.50,16.60,181.00,2850.00,FEMALE
Adelie,Biscoe,37.60,19.10,194.00,3750.00,MALE
Adelie,Biscoe,35.70,16.90,185.00,3150.00,FEMALE
Adelie,Biscoe,41.30,21.10,195.00,4400.00,MALE
Adelie,Biscoe,37.60,17.00,185.00,3600.00,FEMALE
Adelie,Biscoe,41.10,18.20,192.00,4050.00,MALE
Adelie,Biscoe,36.40,17.10,184.00,2850.00,FEMALE
Adelie,Biscoe,41.60,18.00,192.00,3950.00,MALE
Adelie,Biscoe,35.50,16.20,195.00,3350.00,FEMALE
Adelie,Biscoe,41.10,19.10,188.00,4100.00,MALE
Adelie,Torgersen,35.90,16.60,190.00,3050.00,FEMALE
Adelie,Torgersen,41.80,19.40,198.00,4450.00,MALE
Adelie,Torgersen,33.50,19.00,190.00,3600.00,FEMALE
Adelie,Torgersen,39.70,18.40,190.00,3900.00,MALE
Adelie,Torgersen,39.60,17.20,196.00,3550.00,FEMALE
Adelie,Torgersen,45.80,18.90,197.00,4150.00,MALE
Adelie,Torgersen,35.50,17.50,190.00,3700.00,FEMALE
Adelie,Torgersen,42.80,18.50,195.00,4250.00,MALE
Adelie,Torgersen,40.90,16.80,191.00,3700.00,FEMALE
Adelie,Torgersen,37.20,19.40,184.00,3900.00,MALE
Adelie,Torgersen,36.20,16.10,187.00,3550.00,FEMALE
Adelie,Torgersen,42.10,19.10,195.00,4000.00,MALE
Adelie,Torgersen,34.60,17.20,189.00,3200.00,FEMALE
Adelie,Torgersen,42.90,17.60,196.00,4700.00,MALE
Adelie,Torgersen,36.70,18.80,187.00,3800.00,FEMALE
Adelie,Torgersen,35.10,19.40,193.00,4200.00,MALE
Adelie,Dream,37.30,17.80,191.00,3350.00,FEMALE
Adelie,Dream,41.30,20.30,194.00,3550.00,MALE
Adelie,Dream,36.30,19.50,190.00,3800.00,MALE
Adelie,Dream,36.90,18.60,189.00,3500.00,FEMALE
Adelie,Dream,38.30,19.20,189.00,3950.00,MALE
Adelie,Dream,38.90,18.80,190.00,3600.00,FEMALE
Adelie,Dream,35.70,18.00,202.00,3550.00,FEMALE
Adelie,Dream,41.10,18.10,205.00,4300.00,MALE
Adelie,Dream,34.00,17.10,185.00,3400.00,FEMALE
Adelie,Dream,39.60,18.10,186.00,4450.00,MALE
Adelie,Dream,36.20,17.30,187.00,3300.00,FEMALE
Adelie,Dream,40.80,18.90,208.00,4300.00,MALE
Adelie,Dream,38.10,18.60,190.00,3700.00,FEMALE
Adelie,Dream,40.30,18.50,196.00,4350.00,MALE
Adelie,Dream,33.10,16.10,178.00,2900.00,FEMALE
Adelie,Dream,43.20,18.50,192.00,4100.00,MALE
Adelie,Biscoe,35.00,17.90,192.00,3725.00,FEMALE
Adelie,Biscoe,41.00,20.00,203.00,4725.00,MALE
Adelie,Biscoe,37.70,16.00,183.00,3075.00,FEMALE
Adelie,Biscoe,37.80,20.00,190.00,4250.00,MALE
Adelie,Biscoe,37.90,18.60,193.00,2925.00,FEMALE
Adelie,Biscoe,39.70,18.90,184.00,3550.00,MALE
Adelie,Biscoe,38.60,17.20,199.00,3750.00,FEMALE
Adelie,Biscoe,38.20,20.00,190.00,3900.00,MALE
Adelie,Biscoe,38.10,17.00,181.00,3175.00,FEMALE
Adelie,Biscoe,43.20,19.00,197.00,4775.00,MALE
Adelie,Biscoe,38.10,16.50,198.00,3825.00,FEMALE
Adelie,Biscoe,45.60,20.30,191.00,4600.00,MALE
Adelie,Biscoe,39.70,17.70,193.00,3200.00,FEMALE
Adelie,Biscoe,42.20,19.50,197.00,4275.00,MALE
Adelie,Biscoe,39.60,20.70,191.00,3900.00,FEMALE
Adelie,Biscoe,42.70,18.30,196.00,4075.00,MALE
Adelie,Torgersen,38.60,17.00,188.00,2900.00,FEMALE
Adelie,Torgersen,37.30,20.50,199.00,3775.00,MALE
Adelie,Torgersen,35.70,17.00,189.00,3350.00,FEMALE
Adelie,Torgersen,41.10,18.60,189.00,3325.00,MALE
Adelie,Torgersen,36.20,17.20,187.00,3150.00,FEMALE
Adelie,Torgersen,37.70,19.80,198.00,3500.00,MALE
Adelie,Torgersen,40.20,17.00,176.00,3450.00,FEMALE
Adelie,Torgersen,41.40,18.50,202.00,3875.00,MALE
Adelie,Torgersen,35.20,15.90,186.00,3050.00,FEMALE
Adelie,Torgersen,40.60,19.00,199.00,4000.00,MALE
Adelie,Torgersen,38.80,17.60,191.00,3275.00,FEMALE
Adelie,Torgersen,41.50,18.30,195.00,4300.00,MALE
Adelie,Torgersen,39.00,17.10,191.00,3050.00,FEMALE
Adelie,Torgersen,44.10,18.00,210.00,4000.00,MALE
Adelie,Torgersen,38.50,17.90,190.00,3325.00,FEMALE
Adelie,Torgersen,43.10,19.20,197.00,3500.00,MALE
Adelie,Dream,36.80,18.50,193.00,3500.00,FEMALE
Adelie,Dream,37.50,18.50,199.00,4475.00,MALE
Adelie,Dream,38.10,17.60,187.00,3425.00,FEMALE
Adelie,Dream,41.10,17.50,190.00,3900.00,MALE
Adelie,Dream,35.60,17.50,191.00,3175.00,FEMALE
Adelie,Dream,40.20,20.10,200.00,3975.00,MALE
Adelie,Dream,37.00,16.50,185.00,3400.00,FEMALE
Adelie,Dream,39.70,17.90,193.00,4250.00,MALE
Adelie,Dream,40.20,17.10,193.00,3400.00,FEMALE
Adelie,Dream,40.60,17.20,187.00,3475.00,MALE
Adelie,Dream,32.10,15.50,188.00,3050.00,FEMALE
Adelie,Dream,40.70,17.00,190.00,3725.00,MALE
Adelie,Dream,37.30,16.80,192.00,3000.00,FEMALE
Adelie,Dream,39.00,18.70,185.00,3650.00,MALE
Adelie,Dream,39.20,18.60,190.00,4250.00,MALE
Adelie,Dream,36.60,18.40,184.00,3475.00,FEMALE
Adelie,Dream,36.00,17.80,195.00,3450.00,FEMALE
Adelie,Dream,37.80,18.10,193.00,3750.00,MALE
Adelie,Dream,36.00,17.10,187.00,3700.00,FEMALE
Adelie,Dream,41.50,18.50,201.00,4000.00,MALE
Chinstrap,Dream,46.50,17.90,192.00,3500.00,FEMALE
Chinstrap,Dream,50.00,19.50,196.00,3900.00,MALE
Chinstrap,Dream,51.30,19.20,193.00,3650.00,MALE
Chinstrap,Dream,45.40,18.70,188.00,3525.00,FEMALE
Chinstrap,Dream,52.70,19.80,197.00,3725.00,MALE
Chinstrap,Dream,45.20,17.80,198.00,3950.00,FEMALE
Chinstrap,Dream,46.10,18.20,178.00,3250.00,FEMALE
Chinstrap,Dream,51.30,18.20,197.00,3750.00,MALE
Chinstrap,Dream,46.00,18.90,195.00,4150.00,FEMALE
Chinstrap,Dream,51.30,19.90,198.00,3700.00,MALE
Chinstrap,Dream,46.60,17.80,193.00,3800.00,FEMALE
Chinstrap,Dream,51.70,20.30,194.00,3775.00,MALE
Chinstrap,Dream,47.00,17.30,185.00,3700.00,FEMALE
Chinstrap,Dream,52.00,18.10,201.00,4050.00,MALE
Chinstrap,Dream,45.90,17.10,190.00,3575.00,FEMALE
Chinstrap,Dream,50.50,19.60,201.00,4050.00,MALE
Chinstrap,Dream,50.30,20.00,197.00,3300.00,MALE
Chinstrap,Dream,58.00,17.80,181.00,3700.00,FEMALE
Chinstrap,Dream,46.40,18.60,190.00,3450.00,FEMALE
Chinstrap,Dream,49.20,18.20,195.00,4400.00,MALE
Chinstrap,Dream,42.40,17.30,181.00,3600.00,FEMALE
Chinstrap,Dream,48.50,17.50,191.00,3400.00,MALE
Chinstrap,Dream,43.20,16.60,187.00,2900.00,FEMALE
Chinstrap,Dream,50.60,19.40,193.00,3800.00,MALE
Chinstrap,Dream,46.70,17.90,195.00,3300.00,FEMALE
Chinstrap,Dream,52.00,19.00,197.00,4150.00,MALE
Chinstrap,Dream,50.50,18.40,200.00,3400.00,FEMALE
Chinstrap,Dream,49.50,19.00,200.00,3800.00,MALE
Chinstrap,Dream,46.40,17.80,191.00,3700.00,FEMALE
Chinstrap,Dream,52.80,20.00,205.00,4550.00,MALE
Chinstrap,Dream,40.90,16.60,187.00,3200.00,FEMALE
Chinstrap,Dream,54.20,20.80,201.00,4300.00,MALE
Chinstrap,Dream,42.50,16.70,187.00,3350.00,FEMALE
Chinstrap,Dream,51.00,18.80,203.00,4100.00,MALE
Chinstrap,Dream,49.70,18.60,195.00,3600.00,MALE
Chinstrap,Dream,47.50,16.80,199.00,3900.00,FEMALE
Chinstrap,Dream,47.60,18.30,195.00,3850.00,FEMALE
Chinstrap,Dream,52.00,20.70,210.00,4800.00,MALE
Chinstrap,Dream,46.90,16.60,192.00,2700.00,FEMALE
Chinstrap,Dream,53.50,19.90,205.00,4500.00,MALE
