Month,Population,Sex,Total
39814,"79,253",Males,"83,378"
39845,"79,701",Males,"83,925"
39873,"80,894",Males,"85,184"
39904,"80,758",Males,"85,086"
39934,"80,695",Males,"85,018"
39965,"80,735",Males,"85,002"
39995,"80,549",Males,"84,750"
40026,"80,916",Males,"85,173"
40057,"81,150",Males,"85,429"
40087,"80,989",Males,"85,224"
40118,"81,174",Males,"85,473"
40148,"79,054",Males,"83,055"
40179,"80,166",Males,"84,255"
40210,"80,953",Males,"85,177"
40238,"81,148",Males,"85,400"
40269,"80,225",Males,"84,348"
40299,"81,080",Males,"85,289"
40330,"81,189",Males,"85,374"
40360,"81,272",Males,"85,411"
40391,"82,501",Males,"86,770"
40422,"83,245",Males,"87,501"
40452,"83,319",Males,"87,543"
40483,"83,945",Males,"88,167"
40513,"82,112",Males,"86,172"
40544,"83,607",Males,"87,799"
40575,"83,530",Males,"87,733"
40603,"83,313",Males,"87,531"
40634,"83,130",Males,"87,409"
40664,"82,860",Males,"87,068"
40695,"81,925",Males,"86,048"
40725,"82,574",Males,"86,752"
40756,"82,594",Males,"86,708"
40787,"82,334",Males,"86,457"
40817,"82,170",Males,"86,301"
40848,"81,894",Males,"86,047"
40878,"79,837",Males,"83,757"
40909,"80,001",Males,"83,918"
40940,"80,489",Males,"84,451"
40969,"79,900",Males,"83,769"
41000,"80,289",Males,"84,176"
41030,"80,044",Males,"83,897"
41061,"79,989",Males,"83,842"
41091,"80,232",Males,"84,085"
41122,"79,925",Males,"83,770"
41153,"80,555",Males,"84,488"
41183,"81,306",Males,"85,277"
41214,"81,220",Males,"85,153"
41244,"80,356",Males,"84,163"
41275,"81,045",Males,"84,977"
41306,"81,521",Males,"85,469"
41334,"81,377",Males,"85,265"
41365,"80,789",Males,"84,646"
41395,"80,988",Males,"84,845"
41426,"81,580",Males,"85,509"
41456,"81,726",Males,"85,653"
41487,"81,387",Males,"85,302"
41518,"81,783",Males,"85,698"
41548,"81,869",Males,"85,786"
41579,"81,894",Males,"85,837"
41609,"80,863",Males,"84,691"
41640,"81,035",Males,"84,838"
41671,"81,478",Males,"85,311"
41699,"81,798",Males,"85,664"
41730,"81,797",Males,"85,641"
41760,"81,789",Males,"85,694"
41791,"82,289",Males,"86,193"
41821,"82,257",Males,"86,179"
41852,"81,732",Males,"85,679"
41883,"81,998",Males,"85,886"
41913,"81,617",Males,"85,534"
41944,"81,957",Males,"85,920"
41974,"81,143",Males,"84,968"
42005,"81,664",Males,"85,495"
42036,"81,912",Males,"85,766"
42064,"81,615",Males,"85,441"
42095,"81,269",Males,"85,052"
42125,"81,699",Males,"85,558"
42156,"81,272",Males,"85,134"
42186,"81,116",Males,"84,984"
42217,"81,143",Males,"84,997"
42248,"81,796",Males,"85,639"
42278,"82,025",Males,"85,926"
42309,"81,934",Males,"85,873"
42339,"80,476",Males,"84,307"
42370,"81,265",Males,"85,226"
42401,"81,480",Males,"85,433"
42430,"81,535",Males,"85,513"
42461,"80,990",Males,"84,897"
42491,"81,406",Males,"85,376"
42522,"81,856",Males,"85,863"
42552,"82,218",Males,"86,191"
42583,"82,339",Males,"86,320"
42614,"82,040",Males,"85,997"
42644,"82,314",Males,"86,327"
42675,"82,081",Males,"86,129"
42705,"80,794",Males,"84,746"
42736,"80,618",Males,"84,537"
42767,"80,301",Males,"84,235"
42795,"79,797",Males,"83,617"
42826,"79,808",Males,"83,673"
42856,"79,532",Males,"83,430"
42887,"78,970",Males,"82,773"
